metric,dataset,value,n,notes
alp_mean,montgomery,22.243022245772732,28,
alp_std,montgomery,8.025910645811209,28,
alp_p50,montgomery,22.308775844417045,28,
alp_p95,montgomery,35.46766074575734,28,
alp_mean,shenzhen,37.26436722857477,132,
alp_std,shenzhen,10.283438438323545,132,
alp_p50,shenzhen,35.50484731125469,132,
alp_p95,shenzhen,55.377199147401406,132,
alp_mean,tbx11k,27.125466092492562,200,
alp_std,tbx11k,9.93126615850843,200,
alp_p50,tbx11k,25.775131452100123,200,
alp_p95,tbx11k,45.462658231565435,200,
alp_mean,nih_cxr14,20.251379723983675,200,
alp_std,nih_cxr14,12.71278203994785,200,
alp_p50,nih_cxr14,18.35026250116115,200,
alp_p95,nih_cxr14,42.87466826645589,200,
timika_auroc,montgomery,0.30612244897959184,28,
timika_auroc,shenzhen,0.6020737327188941,132,
timika_auroc,tbx11k,0.40649350649350646,179,
timika_auroc,nih_cxr14,,0,no TB/non-TB labels
cavity_detection_rate,montgomery,1.0,14,fraction of TB+ cases with cavity flagged by Expert 2
cavity_detection_rate,shenzhen,0.6935483870967742,62,fraction of TB+ cases with cavity flagged by Expert 2
cavity_detection_rate,tbx11k,0.21428571428571427,14,fraction of TB+ cases with cavity flagged by Expert 2
cavity_detection_rate,nih_cxr14,,0,no TB-positive samples
tb_head_auroc,montgomery,0.4336734693877551,28,
tb_head_auroc,shenzhen,0.8801843317972351,132,
tb_head_auroc,tbx11k,0.4636363636363637,179,
tb_head_auroc,nih_cxr14,,0,no TB/non-TB labels
report_faithfulness,all,1.0,560,deterministic template — faithfulness guaranteed
