rung,threshold,mae_country_macro,sensitivity_country_macro,specificity_country_macro,precision_country_macro,f1_country_macro,false_negative_rate_country_macro,auroc_country_macro,auprc_country_macro
agentic_best,80,20.261186,0.533823,0.921408,0.695778,0.565255,0.466177,0.885508,0.672768
agentic_best_spatcav,80,19.751044,0.530728,0.924885,0.702515,0.567625,0.469272,0.886790,0.674983
agentic_best_tta,80,20.717224,0.580882,0.928007,0.668074,0.603610,0.419118,0.885530,0.668854
agentic_v2_iso,80,20.423844,0.471618,0.936334,0.712147,0.530676,0.528382,0.884093,0.671414
agentic_v2_lin,80,20.301671,0.471394,0.936552,0.715648,0.529401,0.528606,0.884519,0.673229
rung1_bmc,80,20.491938,0.548432,0.911517,0.678185,0.567850,0.451568,0.881431,0.667742
rung1_mse,80,20.958458,0.541670,0.915998,0.689320,0.559891,0.458330,0.885861,0.678051
rung2_tta,80,21.440714,0.604965,0.912805,0.632685,0.600634,0.395035,0.879074,0.653367
rung3_retrieval,80,20.239469,0.534676,0.919975,0.693405,0.565415,0.465324,0.884491,0.672763
rung4b_spatial_cavity,80,19.981367,0.539715,0.913594,0.682301,0.563351,0.460285,0.883294,0.670937
rung5_moe,80,20.617355,0.565134,0.911969,0.678118,0.578490,0.434866,0.881688,0.669063
rung6_conformal,80,20.398247,0.541448,0.917021,0.684759,0.566714,0.458552,0.883557,0.669600
rung7_calibrate_iso,80,20.608252,0.488061,0.930817,0.710560,0.535857,0.511939,0.880343,0.667683
rung7_calibrate_lin,80,20.481847,0.478625,0.932618,0.710402,0.531982,0.521375,0.880951,0.668894
stacked_legacy,80,20.261186,0.533823,0.921408,0.695778,0.565255,0.466177,0.885508,0.672768
agentic_best,100,20.261186,0.347031,0.972433,0.651052,0.388286,0.652969,0.922170,0.560355
agentic_best_spatcav,100,19.751044,0.340738,0.973596,0.653370,0.385489,0.659262,0.922472,0.563983
agentic_best_tta,100,20.717224,0.406499,0.970344,0.624356,0.437480,0.593501,0.921277,0.554649
agentic_v2_iso,100,20.423844,0.278678,0.978167,0.649704,0.335125,0.721322,0.921477,0.561338
agentic_v2_lin,100,20.301671,0.257318,0.980232,0.652419,0.312773,0.742682,0.921798,0.561348
rung1_bmc,100,20.491938,0.384984,0.968408,0.641500,0.413414,0.615016,0.918862,0.555558
rung1_mse,100,20.958458,0.339210,0.971151,0.641544,0.371856,0.660790,0.922804,0.567668
rung2_tta,100,21.440714,0.463547,0.960306,0.575052,0.458518,0.536453,0.914896,0.534693
rung3_retrieval,100,20.239469,0.349223,0.971836,0.653279,0.386934,0.650777,0.921003,0.560294
rung4b_spatial_cavity,100,19.981367,0.378110,0.968955,0.648915,0.407178,0.621890,0.919119,0.558432
rung5_moe,100,20.617355,0.367599,0.967917,0.618074,0.390361,0.632401,0.918301,0.549955
rung6_conformal,100,20.398247,0.368764,0.969639,0.639403,0.403061,0.631236,0.920761,0.556631
rung7_calibrate_iso,100,20.608252,0.282824,0.976515,0.627616,0.328315,0.717176,0.918022,0.554332
rung7_calibrate_lin,100,20.481847,0.257186,0.979157,0.646141,0.309503,0.742814,0.918458,0.556330
stacked_legacy,100,20.261186,0.347031,0.972433,0.651052,0.388286,0.652969,0.922170,0.560355
agentic_best,120,20.261186,0.130061,0.994032,0.507929,0.192641,0.869939,0.950263,0.409234
agentic_best_spatcav,120,19.751044,0.120442,0.995027,0.621226,0.191798,0.879558,0.947602,0.416232
agentic_best_tta,120,20.717224,0.125627,0.993683,0.355944,0.236642,0.874373,0.949420,0.406501
agentic_v2_iso,120,20.423844,0.061971,0.996789,0.668029,0.160152,0.938029,0.949673,0.413675
agentic_v2_lin,120,20.301671,0.031603,0.998739,0.569901,0.184036,0.968397,0.949686,0.407551
rung1_bmc,120,20.491938,0.189945,0.991187,0.534969,0.246567,0.810055,0.947195,0.413535
rung1_mse,120,20.958458,0.086093,0.995448,0.550306,0.199552,0.913907,0.948345,0.397445
rung2_tta,120,21.440714,0.256327,0.986949,0.397787,0.310756,0.743673,0.942244,0.380769
rung3_retrieval,120,20.239469,0.120439,0.994379,0.643166,0.239665,0.879561,0.948697,0.418455
rung4b_spatial_cavity,120,19.981367,0.191056,0.991807,0.583731,0.268404,0.808944,0.944876,0.417783
rung5_moe,120,20.617355,0.182607,0.991222,0.488638,0.247935,0.817393,0.948082,0.408179
rung6_conformal,120,20.398247,0.167567,0.991877,0.485707,0.224759,0.832433,0.948967,0.396102
rung7_calibrate_iso,120,20.608252,0.059217,0.996777,0.593502,0.130226,0.940783,0.946472,0.407934
rung7_calibrate_lin,120,20.481847,0.032103,0.998393,0.547350,0.129258,0.967897,0.947034,0.411951
stacked_legacy,120,20.261186,0.130061,0.994032,0.507929,0.192641,0.869939,0.950263,0.409234
