rung,threshold,n_countries,n_images_total,positives_total,prevalence_macro,sensitivity_country_macro,sensitivity_country_std,sensitivity_image_weighted_country_mean,specificity_country_macro,specificity_country_std,specificity_image_weighted_country_mean,precision_country_macro,precision_country_std,precision_image_weighted_country_mean,f1_country_macro,f1_country_std,f1_image_weighted_country_mean,false_negative_rate_country_macro,false_negative_rate_country_std,false_negative_rate_image_weighted_country_mean,auroc_country_macro,auroc_country_std,auroc_image_weighted_country_mean,auprc_country_macro,auprc_country_std,auprc_image_weighted_country_mean,mae_country_macro,mae_country_std,mae_image_weighted_country_mean
agentic_best_spatcav,80,6,4990,888,0.202788,0.530728,0.153564,0.557437,0.924885,0.068274,0.914446,0.702515,0.191645,0.648141,0.567625,0.082842,0.560178,0.469272,0.153564,0.442563,0.886790,0.034819,0.881443,0.674983,0.132359,0.633605,19.751044,2.996067,20.434966
rung1_bmc,80,6,4990,888,0.202788,0.548432,0.149305,0.576755,0.911517,0.080561,0.899468,0.678185,0.200031,0.622084,0.567850,0.072710,0.557747,0.451568,0.149305,0.423245,0.881431,0.037045,0.875369,0.667742,0.135689,0.626161,20.491938,3.206630,21.243190
rung1_mse,80,6,4990,888,0.202788,0.541670,0.176636,0.581986,0.915998,0.079593,0.899136,0.689320,0.203138,0.625901,0.559891,0.098761,0.555236,0.458330,0.176636,0.418014,0.885861,0.038460,0.878363,0.678051,0.137058,0.634007,20.958458,2.581591,21.636346
rung4b_spatial_cavity,80,6,4990,888,0.202788,0.539715,0.152099,0.573365,0.913594,0.078557,0.901504,0.682301,0.199162,0.629357,0.563351,0.066909,0.556960,0.460285,0.152099,0.426635,0.883294,0.035791,0.878470,0.670937,0.131208,0.631117,19.981367,3.310683,20.773664
agentic_best_spatcav,100,6,4990,421,0.102126,0.340738,0.176100,0.391824,0.973596,0.032924,0.962562,0.653370,0.254227,0.560520,0.385489,0.152775,0.396571,0.659262,0.176100,0.608176,0.922472,0.028826,0.915634,0.563983,0.177985,0.497407,19.751044,2.996067,20.434966
rung1_bmc,100,6,4990,421,0.102126,0.384984,0.177982,0.432021,0.968408,0.037120,0.956401,0.641500,0.260533,0.550575,0.413414,0.144350,0.413705,0.615016,0.177982,0.567979,0.918862,0.031109,0.910895,0.555558,0.185677,0.485888,20.491938,3.206630,21.243190
rung1_mse,100,6,4990,421,0.102126,0.339210,0.185388,0.396114,0.971151,0.037010,0.959339,0.641544,0.251270,0.553243,0.371856,0.143275,0.386339,0.660790,0.185388,0.603886,0.922804,0.029947,0.914736,0.567668,0.181443,0.499488,20.958458,2.581591,21.636346
rung4b_spatial_cavity,100,6,4990,421,0.102126,0.378110,0.180768,0.433155,0.968955,0.037390,0.956751,0.648915,0.262041,0.556967,0.407178,0.140635,0.414335,0.621890,0.180768,0.566845,0.919119,0.030061,0.912311,0.558432,0.179105,0.491016,19.981367,3.310683,20.773664
agentic_best_spatcav,120,6,4990,151,0.032963,0.120442,0.103685,0.158186,0.995027,0.008588,0.992312,0.621226,0.332439,,0.191798,0.088878,,0.879558,0.103685,0.841814,0.947602,0.023992,0.941914,0.416232,0.160448,0.344296,19.751044,2.996067,20.434966
rung1_bmc,120,6,4990,151,0.032963,0.189945,0.148430,0.233342,0.991187,0.013996,0.986876,0.534969,0.328163,0.469487,0.246567,0.105403,0.242759,0.810055,0.148430,0.766658,0.947195,0.031934,0.936848,0.413535,0.171229,0.337350,20.491938,3.206630,21.243190
rung1_mse,120,6,4990,151,0.032963,0.086093,0.097906,0.122218,0.995448,0.008902,0.993011,0.550306,0.431013,0.506721,0.199552,0.130926,,0.913907,0.097906,0.877782,0.948345,0.030251,0.938472,0.397445,0.144770,0.332817,20.958458,2.581591,21.636346
rung4b_spatial_cavity,120,6,4990,151,0.032963,0.191056,0.148306,0.234747,0.991807,0.013632,0.987448,0.583731,0.299431,0.489188,0.268404,0.122699,0.251798,0.808944,0.148306,0.765253,0.944876,0.024954,0.939099,0.417783,0.169041,0.345873,19.981367,3.310683,20.773664
