tp,fp,tn,fn,sensitivity,specificity,precision,f1,false_negative_rate,false_positive_rate,accuracy,held_out,rung,seed,threshold,n,positives,prevalence,auroc,auprc,mae
54,8,924,66,0.450000,0.991416,0.870968,0.593407,0.550000,0.008584,0.929658,Belarus,agentic_best_spatcav,0,80,1052,120,0.114068,0.925107,0.726997,15.457264
60,11,921,60,0.500000,0.988197,0.845070,0.628272,0.500000,0.011803,0.932510,Belarus,agentic_best_spatcav,1,80,1052,120,0.114068,0.921423,0.734568,14.870155
55,9,923,65,0.458333,0.990343,0.859375,0.597826,0.541667,0.009657,0.929658,Belarus,agentic_best_spatcav,2,80,1052,120,0.114068,0.920824,0.738993,15.491311
60,14,918,60,0.500000,0.984979,0.810811,0.618557,0.500000,0.015021,0.929658,Belarus,agentic_best_spatcav,3,80,1052,120,0.114068,0.916711,0.725813,15.821042
49,10,922,71,0.408333,0.989270,0.830508,0.547486,0.591667,0.010730,0.923004,Belarus,agentic_best_spatcav,4,80,1052,120,0.114068,0.924946,0.724411,17.424718
54,9,923,66,0.450000,0.990343,0.857143,0.590164,0.550000,0.009657,0.928707,Belarus,rung1_bmc,0,80,1052,120,0.114068,0.917784,0.717148,16.471279
58,16,916,62,0.483333,0.982833,0.783784,0.597938,0.516667,0.017167,0.925856,Belarus,rung1_bmc,1,80,1052,120,0.114068,0.911248,0.724271,16.931506
63,18,914,57,0.525000,0.980687,0.777778,0.626866,0.475000,0.019313,0.928707,Belarus,rung1_bmc,2,80,1052,120,0.114068,0.916282,0.720025,16.090647
58,15,917,62,0.483333,0.983906,0.794521,0.601036,0.516667,0.016094,0.926806,Belarus,rung1_bmc,3,80,1052,120,0.114068,0.913063,0.718359,15.814551
59,10,922,61,0.491667,0.989270,0.855072,0.624339,0.508333,0.010730,0.932510,Belarus,rung1_bmc,4,80,1052,120,0.114068,0.922845,0.744142,15.731697
53,12,920,67,0.441667,0.987124,0.815385,0.572973,0.558333,0.012876,0.924905,Belarus,rung1_mse,0,80,1052,120,0.114068,0.914592,0.726177,17.886899
64,17,915,56,0.533333,0.981760,0.790123,0.636816,0.466667,0.018240,0.930608,Belarus,rung1_mse,1,80,1052,120,0.114068,0.920851,0.744076,19.050036
63,15,917,57,0.525000,0.983906,0.807692,0.636364,0.475000,0.016094,0.931559,Belarus,rung1_mse,2,80,1052,120,0.114068,0.916461,0.733698,17.769362
60,13,919,60,0.500000,0.986052,0.821918,0.621762,0.500000,0.013948,0.930608,Belarus,rung1_mse,3,80,1052,120,0.114068,0.917149,0.725111,17.596806
70,18,914,50,0.583333,0.980687,0.795455,0.673077,0.416667,0.019313,0.935361,Belarus,rung1_mse,4,80,1052,120,0.114068,0.932913,0.754675,16.578538
51,7,925,69,0.425000,0.992489,0.879310,0.573034,0.575000,0.007511,0.927757,Belarus,rung4b_spatial_cavity,0,80,1052,120,0.114068,0.921942,0.726786,15.444150
59,11,921,61,0.491667,0.988197,0.842857,0.621053,0.508333,0.011803,0.931559,Belarus,rung4b_spatial_cavity,1,80,1052,120,0.114068,0.918062,0.726971,15.074168
59,12,920,61,0.491667,0.987124,0.830986,0.617801,0.508333,0.012876,0.930608,Belarus,rung4b_spatial_cavity,2,80,1052,120,0.114068,0.921593,0.737719,15.344624
58,13,919,62,0.483333,0.986052,0.816901,0.607330,0.516667,0.013948,0.928707,Belarus,rung4b_spatial_cavity,3,80,1052,120,0.114068,0.914700,0.724196,15.427647
51,9,923,69,0.425000,0.990343,0.850000,0.566667,0.575000,0.009657,0.925856,Belarus,rung4b_spatial_cavity,4,80,1052,120,0.114068,0.917918,0.726699,16.501504
109,145,1082,78,0.582888,0.881826,0.429134,0.494331,0.417112,0.118174,0.842291,Georgia,agentic_best_spatcav,0,80,1414,187,0.132249,0.845796,0.475484,22.550561
103,140,1087,84,0.550802,0.885901,0.423868,0.479070,0.449198,0.114099,0.841584,Georgia,agentic_best_spatcav,1,80,1414,187,0.132249,0.844615,0.451530,22.394366
116,143,1084,71,0.620321,0.883456,0.447876,0.520179,0.379679,0.116544,0.848656,Georgia,agentic_best_spatcav,2,80,1414,187,0.132249,0.851557,0.474147,22.480763
98,113,1114,89,0.524064,0.907905,0.464455,0.492462,0.475936,0.092095,0.857143,Georgia,agentic_best_spatcav,3,80,1414,187,0.132249,0.843534,0.448285,21.933396
113,148,1079,74,0.604278,0.879381,0.432950,0.504464,0.395722,0.120619,0.842999,Georgia,agentic_best_spatcav,4,80,1414,187,0.132249,0.842662,0.452935,22.700172
99,119,1108,88,0.529412,0.903015,0.454128,0.488889,0.470588,0.096985,0.853607,Georgia,rung1_bmc,0,80,1414,187,0.132249,0.841982,0.442572,22.609965
97,146,1081,90,0.518717,0.881011,0.399177,0.451163,0.481283,0.118989,0.833098,Georgia,rung1_bmc,1,80,1414,187,0.132249,0.832608,0.446845,23.171305
