country,threshold,n,positives,prevalence
Belarus,80,1052,120,0.114068
Georgia,80,1414,187,0.132249
Kazakhstan,80,399,61,0.152882
Moldova,80,589,188,0.319185
Romania,80,220,65,0.295455
Ukraine,80,1316,267,0.202888
Belarus,100,1052,62,0.058935
Georgia,100,1414,64,0.045262
Kazakhstan,100,399,28,0.070175
Moldova,100,589,130,0.220713
Romania,100,220,30,0.136364
Ukraine,100,1316,107,0.081307
Belarus,120,1052,30,0.028517
Georgia,120,1414,28,0.019802
Kazakhstan,120,399,8,0.020050
Moldova,120,589,57,0.096774
Romania,120,220,3,0.013636
Ukraine,120,1316,25,0.018997
