held_out,rung,threshold,n,positives,prevalence,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,false_negative_rate_mean,false_negative_rate_std,auroc_mean,auroc_std,auprc_mean,auprc_std,mae_mean,mae_std
Belarus,agentic_best_spatcav,80,1052,120,0.114068,0.463333,0.038460,0.988841,0.002470,0.843346,0.023697,0.597110,0.031256,0.536667,0.038460,0.921803,0.003458,0.730156,0.006313,15.812898,0.963936
Belarus,rung1_bmc,80,1052,120,0.114068,0.486667,0.026745,0.985408,0.004197,0.813659,0.039218,0.608069,0.016513,0.513333,0.026745,0.916245,0.004501,0.724789,0.011149,16.207936,0.497045
Belarus,rung1_mse,80,1052,120,0.114068,0.516667,0.051707,0.983906,0.002736,0.806115,0.013300,0.628198,0.036216,0.483333,0.051707,0.920393,0.007359,0.736747,0.012566,17.776328,0.880559
Belarus,rung4b_spatial_cavity,80,1052,120,0.114068,0.463333,0.035158,0.988841,0.002584,0.844011,0.023387,0.597177,0.025555,0.536667,0.035158,0.918843,0.002992,0.728474,0.005292,15.558419,0.547671
Georgia,agentic_best_spatcav,80,1414,187,0.132249,0.576471,0.039187,0.887694,0.011546,0.439657,0.016489,0.498101,0.015298,0.423529,0.039187,0.845633,0.003514,0.460476,0.013207,22.411851,0.289975
Georgia,rung1_bmc,80,1414,187,0.132249,0.579679,0.053689,0.872535,0.024898,0.412430,0.030477,0.479932,0.018647,0.420321,0.053689,0.836423,0.004631,0.440144,0.008379,23.508891,0.745976
Georgia,rung1_mse,80,1414,187,0.132249,0.591444,0.071105,0.869275,0.026071,0.410726,0.020365,0.482157,0.012573,0.408556,0.071105,0.833917,0.004805,0.447317,0.018056,23.282280,0.846965
Georgia,rung4b_spatial_cavity,80,1414,187,0.132249,0.594652,0.061949,0.870253,0.021581,0.412947,0.023526,0.485735,0.021273,0.405348,0.061949,0.842467,0.002965,0.453725,0.007763,23.148887,0.557847
Kazakhstan,agentic_best_spatcav,80,399,61,0.152882,0.521311,0.052356,0.975148,0.005767,0.793204,0.031940,0.627270,0.034298,0.478689,0.052356,0.918722,0.003832,0.738986,0.006736,16.742889,0.287219
Kazakhstan,rung1_bmc,80,399,61,0.152882,0.534426,0.061992,0.972189,0.010376,0.781183,0.056847,0.631703,0.041733,0.465574,0.061992,0.920400,0.006555,0.740957,0.017915,17.324900,0.600528
Kazakhstan,rung1_mse,80,399,61,0.152882,0.508197,0.098361,0.976331,0.006938,0.797404,0.019694,0.615638,0.066501,0.491803,0.098361,0.927267,0.005861,0.754345,0.014466,18.515539,0.844791
Kazakhstan,rung4b_spatial_cavity,80,399,61,0.152882,0.508197,0.053121,0.972781,0.009901,0.777037,0.051323,0.611490,0.027598,0.491803,0.053121,0.916869,0.004758,0.732266,0.010927,16.786494,0.352323
Moldova,agentic_best_spatcav,80,589,188,0.319185,0.280851,0.027995,0.992020,0.002086,0.942610,0.015362,0.432217,0.033526,0.719149,0.027995,0.913135,0.001198,0.848218,0.003037,21.589349,0.598363
Moldova,rung1_bmc,80,589,188,0.319185,0.315957,0.056116,0.989526,0.004797,0.937282,0.023904,0.469652,0.064697,0.684043,0.056116,0.905810,0.006554,0.836455,0.010052,21.923154,0.589639
Moldova,rung1_mse,80,589,188,0.319185,0.248936,0.044248,0.994514,0.002086,0.953673,0.019591,0.393381,0.057136,0.751064,0.044248,0.909909,0.007504,0.843907,0.011409,22.551498,0.761935
Moldova,rung4b_spatial_cavity,80,589,188,0.319185,0.315957,0.042653,0.988030,0.002086,0.924708,0.012606,0.469752,0.049847,0.684043,0.042653,0.909781,0.003551,0.839870,0.007208,21.440954,0.670281
Romania,agentic_best_spatcav,80,220,65,0.295455,0.603077,0.027521,0.867097,0.021687,0.657510,0.029987,0.628122,0.007400,0.396923,0.027521,0.854829,0.006871,0.662446,0.005036,19.121198,0.490718
Romania,rung1_bmc,80,220,65,0.295455,0.603077,0.076460,0.842581,0.035513,0.619176,0.028915,0.608009,0.031050,0.396923,0.076460,0.847841,0.008872,0.649793,0.013284,20.073665,0.219839
Romania,rung1_mse,80,220,65,0.295455,0.590769,0.033706,0.869677,0.032387,0.659236,0.045128,0.621486,0.015301,0.409231,0.033706,0.856437,0.005554,0.669962,0.038427,19.833612,1.040837
Romania,rung4b_spatial_cavity,80,220,65,0.295455,0.584615,0.066172,0.847742,0.035513,0.620255,0.034607,0.599171,0.026256,0.415385,0.066172,0.847385,0.005141,0.655580,0.017224,19.427620,0.357168
Ukraine,agentic_best_spatcav,80,1316,267,0.202888,0.739326,0.024787,0.838513,0.013857,0.538762,0.014893,0.622927,0.008139,0.260674,0.024787,0.866618,0.001242,0.609617,0.006238,22.828078,0.576191
Ukraine,rung1_bmc,80,1316,267,0.202888,0.770787,0.027446,0.806864,0.024459,0.505380,0.022773,0.609732,0.008328,0.229213,0.027446,0.861866,0.002578,0.614313,0.006705,23.913084,0.821944
Ukraine,rung1_mse,80,1316,267,0.202888,0.794007,0.038832,0.802288,0.036103,0.508767,0.035898,0.618485,0.014408,0.205993,0.038832,0.867241,0.005079,0.616029,0.005961,23.791488,1.629048
Ukraine,rung4b_spatial_cavity,80,1316,267,0.202888,0.771536,0.031223,0.813918,0.022972,0.514848,0.021661,0.616781,0.005683,0.228464,0.031223,0.864419,0.001600,0.615704,0.007698,23.525830,0.813155
Belarus,agentic_best_spatcav,100,1052,62,0.058935,0.374194,0.041749,0.995354,0.001152,0.836227,0.025259,0.515567,0.037420,0.625806,0.041749,0.946390,0.006689,0.670833,0.008681,15.812898,0.963936
Belarus,rung1_bmc,100,1052,62,0.058935,0.396774,0.037132,0.994141,0.002303,0.814154,0.049270,0.531632,0.026291,0.603226,0.037132,0.943271,0.004101,0.659954,0.019423,16.207936,0.497045
Belarus,rung1_mse,100,1052,62,0.058935,0.364516,0.046467,0.995354,0.001690,0.834682,0.037848,0.505238,0.041271,0.635484,0.046467,0.943138,0.005887,0.672284,0.010108,17.776328,0.880559
Belarus,rung4b_spatial_cavity,100,1052,62,0.058935,0.393548,0.037132,0.994343,0.001835,0.817132,0.038494,0.529532,0.026395,0.606452,0.037132,0.944653,0.005569,0.664143,0.006914,15.558419,0.547671
Georgia,agentic_best_spatcav,100,1414,64,0.045262,0.375000,0.039836,0.957037,0.005543,0.293250,0.009533,0.328102,0.015023,0.625000,0.039836,0.905252,0.003673,0.311765,0.025075,22.411851,0.289975
Georgia,rung1_bmc,100,1414,64,0.045262,0.418750,0.063853,0.948741,0.010929,0.280957,0.015157,0.334035,0.015844,0.581250,0.063853,0.896280,0.011506,0.286313,0.011855,23.508891,0.745976
Georgia,rung1_mse,100,1414,64,0.045262,0.378125,0.063853,0.956148,0.011528,0.294349,0.026750,0.327218,0.017763,0.621875,0.063853,0.900062,0.013639,0.308140,0.026143,23.282280,0.846965
Georgia,rung4b_spatial_cavity,100,1414,64,0.045262,0.440625,0.070226,0.949778,0.008864,0.294255,0.008960,0.350963,0.020977,0.559375,0.070226,0.900546,0.001960,0.301885,0.018390,23.148887,0.557847
Kazakhstan,agentic_best_spatcav,100,399,28,0.070175,0.407143,0.040721,0.992453,0.002255,0.804286,0.045749,0.539545,0.039789,0.592857,0.040721,0.966885,0.004037,0.685293,0.036283,16.742889,0.287219
Kazakhstan,rung1_bmc,100,399,28,0.070175,0.450000,0.074059,0.990836,0.004510,0.792489,0.072150,0.570434,0.066057,0.550000,0.074059,0.967809,0.004838,0.706602,0.050629,17.324900,0.600528
Kazakhstan,rung1_mse,100,399,28,0.070175,0.335714,0.189992,0.993531,0.002411,0.767802,0.100807,0.449123,0.196851,0.664286,0.189992,0.971929,0.003198,0.695443,0.037240,18.515539,0.844791
Kazakhstan,rung4b_spatial_cavity,100,399,28,0.070175,0.435714,0.073193,0.990836,0.004510,0.788454,0.067568,0.557056,0.062171,0.564286,0.073193,0.965845,0.003777,0.694824,0.047963,16.786494,0.352323
Moldova,agentic_best_spatcav,100,589,130,0.220713,0.070769,0.022027,0.997821,0.000000,0.894199,0.035969,0.130614,0.038364,0.929231,0.022027,0.910813,0.003538,0.741808,0.006762,21.589349,0.598363
Moldova,rung1_bmc,100,589,130,0.220713,0.098462,0.041210,0.997821,0.002179,0.927183,0.083709,0.175938,0.068975,0.901538,0.041210,0.907702,0.006269,0.730637,0.013465,21.923154,0.589639
Moldova,rung1_mse,100,589,130,0.220713,0.058462,0.019308,0.998257,0.000974,0.892929,0.068639,0.109374,0.034561,0.941538,0.019308,0.911104,0.005794,0.749357,0.015601,22.551498,0.761935
Moldova,rung4b_spatial_cavity,100,589,130,0.220713,0.098462,0.049074,0.998257,0.001823,0.946667,0.052938,0.175166,0.082568,0.901538,0.049074,0.906177,0.005306,0.728073,0.011880,21.440954,0.670281
Romania,agentic_best_spatcav,100,220,30,0.136364,0.226667,0.072265,0.985263,0.005766,0.713846,0.077192,0.338738,0.086404,0.773333,0.072265,0.916877,0.015810,0.599353,0.013717,19.121198,0.490718
Romania,rung1_bmc,100,220,30,0.136364,0.306667,0.160555,0.976842,0.010914,0.665815,0.058155,0.402664,0.160165,0.693333,0.160555,0.913684,0.003151,0.581028,0.035133,20.073665,0.219839
Romania,rung1_mse,100,220,30,0.136364,0.266667,0.084984,0.981053,0.010914,0.693619,0.107743,0.379259,0.103684,0.733333,0.084984,0.919263,0.010225,0.602261,0.076934,19.833612,1.040837
Romania,rung4b_spatial_cavity,100,220,30,0.136364,0.266667,0.117851,0.978947,0.012343,0.681061,0.106412,0.368592,0.131608,0.733333,0.117851,0.911789,0.013482,0.590329,0.022419,19.427620,0.357168
Ukraine,agentic_best_spatcav,100,1316,107,0.081307,0.590654,0.035832,0.913648,0.010889,0.378413,0.017572,0.460369,0.006459,0.409346,0.035832,0.888614,0.003107,0.374843,0.005811,22.828078,0.576191
Ukraine,rung1_bmc,100,1316,107,0.081307,0.639252,0.053525,0.902068,0.016683,0.368401,0.020834,0.465783,0.006983,0.360748,0.053525,0.884423,0.005009,0.368814,0.004998,23.913084,0.821944
Ukraine,rung1_mse,100,1316,107,0.081307,0.631776,0.090755,0.902564,0.017501,0.365882,0.014637,0.460925,0.022402,0.368224,0.090755,0.891326,0.008667,0.378526,0.014781,23.791488,1.629048
Ukraine,rung4b_spatial_cavity,100,1316,107,0.081307,0.633645,0.061427,0.901572,0.019336,0.365921,0.024686,0.461759,0.011977,0.366355,0.061427,0.885700,0.003262,0.371340,0.005230,23.525830,0.813155
Belarus,agentic_best_spatcav,120,1052,30,0.028517,0.140000,0.043461,0.996869,0.001451,0.583333,0.124226,0.222474,0.059045,0.860000,0.043461,0.948278,0.005030,0.430653,0.021890,15.812898,0.963936
Belarus,rung1_bmc,120,1052,30,0.028517,0.173333,0.043461,0.996282,0.000819,0.575397,0.060182,0.264836,0.054573,0.826667,0.043461,0.944671,0.006890,0.423302,0.020161,16.207936,0.497045
Belarus,rung1_mse,120,1052,30,0.028517,0.113333,0.018257,0.998826,0.001072,0.774286,0.153247,0.195909,0.024665,0.886667,0.018257,0.947691,0.009568,0.433656,0.008968,17.776328,0.880559
Belarus,rung4b_spatial_cavity,120,1052,30,0.028517,0.180000,0.050553,0.996477,0.001637,0.620202,0.086793,0.273318,0.060876,0.820000,0.050553,0.946882,0.005300,0.433901,0.021180,15.558419,0.547671
Georgia,agentic_best_spatcav,120,1414,28,0.019802,0.157143,0.082220,0.995960,0.001496,0.428571,0.167515,0.225397,0.104425,0.842857,0.082220,0.943821,0.003298,0.265122,0.038584,22.411851,0.289975
Georgia,rung1_bmc,120,1414,28,0.019802,0.207143,0.068698,0.991342,0.006514,0.364242,0.085674,0.249637,0.025373,0.792857,0.068698,0.935957,0.010505,0.243030,0.017469,23.508891,0.745976
Georgia,rung1_mse,120,1414,28,0.019802,0.085714,0.074059,0.997403,0.001094,0.323810,0.205232,0.166045,0.092329,0.914286,0.074059,0.935080,0.011182,0.250326,0.029984,23.282280,0.846965
Georgia,rung4b_spatial_cavity,120,1414,28,0.019802,0.207143,0.068698,0.991631,0.004637,0.355152,0.079114,0.251499,0.042055,0.792857,0.068698,0.939440,0.005812,0.259475,0.023863,23.148887,0.557847
Kazakhstan,agentic_best_spatcav,120,399,8,0.020050,0.150000,0.055902,0.999488,0.001144,0.900000,0.223607,0.253333,0.082552,0.850000,0.055902,0.985678,0.001742,0.590916,0.068332,16.742889,0.287219
Kazakhstan,rung1_bmc,120,399,8,0.020050,0.250000,0.153093,0.998977,0.001401,0.833333,0.235702,0.370505,0.186875,0.750000,0.153093,0.983632,0.004898,0.629543,0.115727,17.324900,0.600528
Kazakhstan,rung1_mse,120,399,8,0.020050,0.050000,0.111803,1.000000,0.000000,1.000000,,0.400000,,0.950000,0.111803,0.981969,0.004178,0.485459,0.061113,18.515539,0.844791
Kazakhstan,rung4b_spatial_cavity,120,399,8,0.020050,0.250000,0.153093,0.998977,0.001401,0.833333,0.235702,0.370505,0.186875,0.750000,0.153093,0.985358,0.002688,0.641839,0.113187,16.786494,0.352323
Moldova,agentic_best_spatcav,120,589,57,0.096774,0.003509,0.007846,1.000000,0.000000,1.000000,,0.034483,,0.996491,0.007846,0.917696,0.004188,0.515493,0.021632,21.589349,0.598363
Moldova,rung1_bmc,120,589,57,0.096774,0.010526,0.015692,1.000000,0.000000,1.000000,0.000000,0.051140,0.023556,0.989474,0.015692,0.911034,0.004425,0.503404,0.020512,21.923154,0.589639
Moldova,rung1_mse,120,589,57,0.096774,0.003509,0.007846,1.000000,0.000000,1.000000,,0.034483,,0.996491,0.007846,0.913725,0.008113,0.511678,0.033844,22.551498,0.761935
Moldova,rung4b_spatial_cavity,120,589,57,0.096774,0.010526,0.015692,1.000000,0.000000,1.000000,0.000000,0.051140,0.023556,0.989474,0.015692,0.913745,0.005488,0.510091,0.020139,21.440954,0.670281
Romania,agentic_best_spatcav,120,220,3,0.013636,0.000000,0.000000,1.000000,0.000000,,,,,1.000000,0.000000,0.960983,0.044462,0.514772,0.169301,19.121198,0.490718
Romania,rung1_bmc,120,220,3,0.013636,0.066667,0.149071,0.997235,0.006183,0.250000,,0.285714,,0.933333,0.149071,0.987404,0.002278,0.502460,0.096554,20.073665,0.219839
Romania,rung1_mse,120,220,3,0.013636,0.000000,0.000000,0.999078,0.002061,0.000000,,,,1.000000,0.000000,0.987097,0.003699,0.520404,0.138614,19.833612,1.040837
Romania,rung4b_spatial_cavity,120,220,3,0.013636,0.066667,0.149071,0.999078,0.002061,0.500000,,0.400000,,0.933333,0.149071,0.956989,0.045839,0.478449,0.109836,19.427620,0.357168
Ukraine,agentic_best_spatcav,120,1316,25,0.018997,0.272000,0.065727,0.977847,0.005940,0.194228,0.021374,0.223303,0.025975,0.728000,0.065727,0.929159,0.006948,0.180438,0.008624,22.828078,0.576191
Ukraine,rung1_bmc,120,1316,25,0.018997,0.432000,0.107331,0.963284,0.010079,0.186844,0.016831,0.257572,0.024987,0.568000,0.107331,0.920471,0.005309,0.179472,0.009481,23.913084,0.821944
Ukraine,rung1_mse,120,1316,25,0.018997,0.264000,0.168760,0.977382,0.018325,0.203740,0.033207,0.201321,0.052370,0.736000,0.168760,0.924505,0.002730,0.183150,0.009590,23.791488,1.629048
Ukraine,rung4b_spatial_cavity,120,1316,25,0.018997,0.432000,0.103537,0.964679,0.010079,0.193701,0.022423,0.263960,0.029520,0.568000,0.103537,0.926841,0.008262,0.182941,0.009546,23.525830,0.813155
