method_label,rung,threshold,n_countries,n_images_total,positives_total,prevalence_macro,sensitivity_country_macro,specificity_country_macro,precision_country_macro,f1_country_macro,false_negative_rate_country_macro,auroc_country_macro,auprc_country_macro,mae_country_macro
Spatial cavity-aware agentic stack,agentic_best_spatcav,80,6,4990,888,0.202788,0.530728,0.924885,0.702515,0.567625,0.469272,0.886790,0.674983,19.751044
R1: Balanced-MSE,rung1_bmc,80,6,4990,888,0.202788,0.548432,0.911517,0.678185,0.567850,0.451568,0.881431,0.667742,20.491938
R1: MSE baseline,rung1_mse,80,6,4990,888,0.202788,0.541670,0.915998,0.689320,0.559891,0.458330,0.885861,0.678051,20.958458
R4b: spatial cavity head,rung4b_spatial_cavity,80,6,4990,888,0.202788,0.539715,0.913594,0.682301,0.563351,0.460285,0.883294,0.670937,19.981367
Spatial cavity-aware agentic stack,agentic_best_spatcav,100,6,4990,421,0.102126,0.340738,0.973596,0.653370,0.385489,0.659262,0.922472,0.563983,19.751044
R1: Balanced-MSE,rung1_bmc,100,6,4990,421,0.102126,0.384984,0.968408,0.641500,0.413414,0.615016,0.918862,0.555558,20.491938
R1: MSE baseline,rung1_mse,100,6,4990,421,0.102126,0.339210,0.971151,0.641544,0.371856,0.660790,0.922804,0.567668,20.958458
R4b: spatial cavity head,rung4b_spatial_cavity,100,6,4990,421,0.102126,0.378110,0.968955,0.648915,0.407178,0.621890,0.919119,0.558432,19.981367
Spatial cavity-aware agentic stack,agentic_best_spatcav,120,6,4990,151,0.032963,0.120442,0.995027,0.621226,0.191798,0.879558,0.947602,0.416232,19.751044
R1: Balanced-MSE,rung1_bmc,120,6,4990,151,0.032963,0.189945,0.991187,0.534969,0.246567,0.810055,0.947195,0.413535,20.491938
R1: MSE baseline,rung1_mse,120,6,4990,151,0.032963,0.086093,0.995448,0.550306,0.199552,0.913907,0.948345,0.397445,20.958458
R4b: spatial cavity head,rung4b_spatial_cavity,120,6,4990,151,0.032963,0.191056,0.991807,0.583731,0.268404,0.808944,0.944876,0.417783,19.981367
