held_out,rung,n_test,seed_count,mae_mean,mae_std,pearson_mean,pearson_std
Belarus,agentic_best_spatcav,1052,5,15.812898,0.963936,0.768312,0.009247
Belarus,agentic_v2_iso,1052,5,17.333397,0.470656,0.742228,0.011374
Belarus,rung1_bmc,1052,5,16.207936,0.497045,0.744207,0.009189
Belarus,rung1_mse,1052,5,17.776328,0.880559,0.742501,0.007068
Belarus,rung4b_spatial_cavity,1052,5,15.558419,0.547671,0.764324,0.007731
Georgia,agentic_best_spatcav,1414,5,22.411851,0.289975,0.547165,0.004643
Georgia,agentic_v2_iso,1414,5,22.369133,0.282857,0.527452,0.005624
Georgia,rung1_bmc,1414,5,23.508891,0.745976,0.526821,0.006426
Georgia,rung1_mse,1414,5,23.282280,0.846965,0.521710,0.011318
Georgia,rung4b_spatial_cavity,1414,5,23.148887,0.557847,0.541108,0.005808
Kazakhstan,agentic_best_spatcav,399,5,16.742889,0.287219,0.798791,0.005110
Kazakhstan,agentic_v2_iso,399,5,17.998673,0.697841,0.780067,0.018960
Kazakhstan,rung1_bmc,399,5,17.324900,0.600528,0.780264,0.015346
Kazakhstan,rung1_mse,399,5,18.515539,0.844791,0.768438,0.017147
Kazakhstan,rung4b_spatial_cavity,399,5,16.786494,0.352323,0.794002,0.002821
Moldova,agentic_best_spatcav,589,5,21.589349,0.598363,0.814812,0.008296
Moldova,agentic_v2_iso,589,5,22.317380,0.616926,0.800160,0.013590
Moldova,rung1_bmc,589,5,21.923154,0.589639,0.794192,0.018482
Moldova,rung1_mse,589,5,22.551498,0.761935,0.794936,0.015637
Moldova,rung4b_spatial_cavity,589,5,21.440954,0.670281,0.808127,0.011905
Romania,agentic_best_spatcav,220,5,19.121198,0.490718,0.690388,0.014574
Romania,agentic_v2_iso,220,5,19.832938,0.413919,0.659230,0.016420
Romania,rung1_bmc,220,5,20.073665,0.219839,0.655226,0.014622
Romania,rung1_mse,220,5,19.833612,1.040837,0.655118,0.031719
Romania,rung4b_spatial_cavity,220,5,19.427620,0.357168,0.686338,0.011355
Ukraine,agentic_best_spatcav,1316,5,22.828078,0.576191,0.715221,0.002132
Ukraine,agentic_v2_iso,1316,5,22.691540,0.733401,0.702635,0.003727
Ukraine,rung1_bmc,1316,5,23.913084,0.821944,0.700309,0.004153
Ukraine,rung1_mse,1316,5,23.791488,1.629048,0.707488,0.009844
Ukraine,rung4b_spatial_cavity,1316,5,23.525830,0.813155,0.709129,0.003698
