mode,rung,loss,standardize,retrieval,alpha,cavity_loss,cavity_thr,alp_head,ensemble,held_out,seed,n_test,alp_mae,cavity_auc,cavity_f1,timika_mae,timika_pearson,timika_mae_ci_lo,timika_mae_ci_hi,conformal_cov,conformal_width,base_timika_mae,paper_timika_mae,cav_best_val_ce,verdict
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,0,220,11.683361053466797,,,19.139536888707763,0.6675568305462959,17.162039999214088,21.13376572825963,,,20.26,18.7,0.5340337157249451,within-noise
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,1,220,12.177048683166504,,,19.94871473832564,0.6479487447973832,17.859352773579683,21.950917497233917,,,20.26,18.7,0.529326856136322,within-noise
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,2,220,12.422636032104492,,,21.499642999605697,0.6079749213259991,19.198619849221277,23.879170836697924,,,20.26,18.7,0.5664180517196655,within-noise
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,3,220,11.938365936279297,,,18.804350558736108,0.6950161076214203,16.988271638070994,20.72559442630952,,,20.26,18.7,0.5793893933296204,within-noise
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,4,220,13.362903594970703,,,19.7758123728362,0.6570943071192153,17.81371688786691,21.78331198190559,,,20.26,18.7,0.5446211695671082,within-noise
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,0,589,21.34444999694824,,,23.27866182813013,0.8060268536887185,21.5835688678012,24.951672275135188,,,26.16,18.85,0.5669577717781067,BEATS
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,1,589,19.629379272460938,,,21.947297323256077,0.7965071148921783,20.40342722090072,23.507555963968784,,,26.16,18.85,0.545996904373169,BEATS
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,2,589,19.45622062683105,,,21.8811106187176,0.7881164835926586,20.474268615284277,23.29870804400315,,,26.16,18.85,0.5653663277626038,BEATS
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,3,589,19.880517959594727,,,22.181357282632884,0.7721523771035805,20.57033640993522,23.720055794313627,,,26.16,18.85,0.5528581738471985,BEATS
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,4,589,22.64468765258789,,,23.46906441795072,0.8118754209610027,21.67414322143117,25.1420566400453,,,26.16,18.85,0.58884596824646,BEATS
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,0,399,10.428962707519531,,,17.805244845854013,0.7830073064697103,16.32026670529206,19.25886269930685,,,21.9,19.62,0.5771103501319885,BEATS
