held_out,rung,n_test,seed_count,mae_mean,mae_std,pearson_mean,pearson_std
Belarus,agentic_best,1052,5,16.549202,0.337579,0.748176,0.007477
Belarus,agentic_best_spatcav,1052,5,15.812898,0.963936,0.768312,0.009247
Belarus,agentic_best_tta,1052,5,21.228872,0.342093,0.731157,0.003842
Belarus,agentic_v2_iso,1052,5,17.333397,0.470656,0.742228,0.011374
Belarus,agentic_v2_lin,1052,5,17.015051,0.611384,0.745822,0.009916
Belarus,rung1_bmc,1052,5,16.207936,0.497045,0.744207,0.009189
Belarus,rung1_mse,1052,5,17.776328,0.880559,0.742501,0.007068
Belarus,rung2_tta,1052,5,21.833900,0.777236,0.713353,0.006760
Belarus,rung3_retrieval,1052,5,16.350255,0.555611,0.748294,0.009334
Belarus,rung4b_spatial_cavity,1052,5,15.558419,0.547671,0.764324,0.007731
Belarus,rung5_moe,1052,5,16.291858,0.726782,0.742382,0.009757
Belarus,rung6_conformal,1052,5,16.287157,0.328787,0.744403,0.007900
Belarus,rung7_calibrate_iso,1052,5,17.330646,0.715580,0.737769,0.012571
Belarus,rung7_calibrate_lin,1052,5,16.971193,0.888634,0.739904,0.013212
Belarus,stacked_legacy,1052,5,16.549202,0.337579,0.748176,0.007477
Georgia,agentic_best,1414,5,22.758209,0.339695,0.534080,0.003793
Georgia,agentic_best_spatcav,1414,5,22.411851,0.289975,0.547165,0.004643
Georgia,agentic_best_tta,1414,5,23.337489,0.207301,0.541267,0.002460
Georgia,agentic_v2_iso,1414,5,22.369133,0.282857,0.527452,0.005624
Georgia,agentic_v2_lin,1414,5,22.392983,0.248108,0.527122,0.004921
Georgia,rung1_bmc,1414,5,23.508891,0.745976,0.526821,0.006426
Georgia,rung1_mse,1414,5,23.282280,0.846965,0.521710,0.011318
Georgia,rung2_tta,1414,5,24.587449,0.547447,0.528423,0.005916
Georgia,rung3_retrieval,1414,5,23.073795,0.530510,0.531018,0.004031
Georgia,rung4b_spatial_cavity,1414,5,23.148887,0.557847,0.541108,0.005808
Georgia,rung5_moe,1414,5,23.643368,1.119366,0.523164,0.011634
Georgia,rung6_conformal,1414,5,22.970189,0.384783,0.531142,0.005627
Georgia,rung7_calibrate_iso,1414,5,22.610384,0.254777,0.521998,0.005475
Georgia,rung7_calibrate_lin,1414,5,22.654449,0.473849,0.520899,0.007559
Georgia,stacked_legacy,1414,5,22.758209,0.339695,0.534080,0.003793
Kazakhstan,agentic_best,399,5,17.275268,0.622324,0.786786,0.015073
Kazakhstan,agentic_best_spatcav,399,5,16.742889,0.287219,0.798791,0.005110
Kazakhstan,agentic_best_tta,399,5,18.843959,0.572121,0.774411,0.017148
Kazakhstan,agentic_v2_iso,399,5,17.998673,0.697841,0.780067,0.018960
Kazakhstan,agentic_v2_lin,399,5,17.786992,0.770614,0.780562,0.018708
Kazakhstan,rung1_bmc,399,5,17.324900,0.600528,0.780264,0.015346
