rung,n_countries,n_images_total,mae_country_macro,mae_image_weighted,pearson_country_macro,pearson_image_weighted
agentic_best_spatcav,6,4990,19.751044,20.434966,0.722448,0.696135
rung4b_spatial_cavity,6,4990,19.981367,20.773664,0.717171,0.690621
rung3_retrieval,6,4990,20.239469,20.946798,0.705545,0.680642
agentic_best,6,4990,20.261186,20.925927,0.707148,0.682556
stacked_legacy,6,4990,20.261186,20.925927,0.707148,0.682556
agentic_v2_lin,6,4990,20.301671,20.798470,0.702313,0.677616
rung6_conformal,6,4990,20.398247,21.080821,0.703648,0.679202
agentic_v2_iso,6,4990,20.423844,20.925132,0.701962,0.677130
rung7_calibrate_lin,6,4990,20.481847,20.992242,0.695424,0.670948
rung1_bmc,6,4990,20.491938,21.243190,0.700170,0.675890
rung7_calibrate_iso,6,4990,20.608252,21.145332,0.695644,0.670812
rung5_moe,6,4990,20.617355,21.307758,0.695771,0.673136
agentic_best_tta,6,4990,20.717224,21.302007,0.708569,0.683058
rung1_mse,6,4990,20.958458,21.636346,0.698365,0.675113
rung2_tta,6,4990,21.440714,22.161921,0.695997,0.670581
