mode,rung,loss,standardize,retrieval,alpha,cavity_loss,cavity_thr,alp_head,ensemble,held_out,seed,n_test,alp_mae,cavity_auc,cavity_f1,timika_mae,timika_pearson,timika_mae_ci_lo,timika_mae_ci_hi,conformal_cov,conformal_width,base_timika_mae,paper_timika_mae,cav_best_val_ce,verdict
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,0,589,22.439348220825195,,,23.65770319124244,0.8154082180989126,21.88086887359107,25.40290036065964,0.8030560271646859,85.23889389038087,26.16,18.85,0.5669577717781067,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,1,589,20.49435043334961,,,21.75740039547959,0.7973145256335887,20.139209997935286,23.447851997124623,0.8285229202037352,82.75251159667968,26.16,18.85,0.545996904373169,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,2,589,21.615081787109375,,,22.0397614098592,0.7841681521217819,20.53923688525615,23.490921573349556,0.8573853989813243,84.49335021972658,26.16,18.85,0.5653663277626038,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,3,589,20.830108642578125,,,21.570606215422142,0.7943229105449663,19.97314660101117,23.188281848830613,0.8471986417657046,85.37991142272949,26.16,18.85,0.5528581738471985,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,4,589,20.442319869995117,,,22.694219933677914,0.8109102752058912,20.971498855817842,24.34390951482051,0.8081494057724957,80.52386474609375,26.16,18.85,0.58884596824646,BEATS
fusion,agentic_best,bmc,none,True,0.25,ce,0.5,mlp,10,Moldova,0,589,22.439348220825195,,,22.538628761789717,0.8213634013187819,20.84483937552899,24.225211686397998,0.8098471986417657,83.30549545288085,26.16,18.85,0.5669577717781067,BEATS
fusion,agentic_best,bmc,none,True,0.15,ce,0.5,mlp,10,Moldova,1,589,20.49435043334961,,,21.541042243280717,0.8012709006113355,19.94807924460626,23.20176873091728,0.8387096774193549,83.86923370361328,26.16,18.85,0.545996904373169,BEATS
fusion,agentic_best,bmc,none,True,0.25,ce,0.5,mlp,10,Moldova,2,589,21.615081787109375,,,21.795179742766965,0.7941475447461711,20.26649570900232,23.31804820991281,0.8471986417657046,82.26042480468752,26.16,18.85,0.5653663277626038,BEATS
fusion,agentic_best,bmc,none,True,0.1,ce,0.5,mlp,10,Moldova,3,589,20.830108642578125,,,21.44144254087997,0.7963866089110504,19.839000204482538,23.04585560436261,0.8471986417657046,85.53032684326172,26.16,18.85,0.5528581738471985,BEATS
fusion,agentic_best,bmc,none,True,0.2,ce,0.5,mlp,10,Moldova,4,589,20.442319869995117,,,22.212454618511057,0.8151247760817559,20.53048604116021,23.87076606339201,0.7928692699490663,79.31698646545411,26.16,18.85,0.58884596824646,BEATS
fusion,agentic_best_tta,bmc,transductive,True,0.3,ce,0.5,mlp,10,Moldova,0,589,16.515535354614258,,,19.66585961642006,0.8206718656666475,18.21741788403819,21.174907380675926,0.8777589134125636,83.10916595458984,26.16,18.85,0.5669577717781067,BEATS
fusion,agentic_best_tta,bmc,transductive,True,0.3,ce,0.5,mlp,10,Moldova,1,589,16.785646438598633,,,20.20344532886061,0.7994312463148995,18.83512919003419,21.628932747713883,0.8845500848896435,83.67088584899903,26.16,18.85,0.545996904373169,BEATS
fusion,agentic_best_tta,bmc,transductive,True,0.35,ce,0.5,mlp,10,Moldova,2,589,17.061403274536133,,,20.051451120746965,0.8050938909934365,18.726311611652324,21.458059075489917,0.8913412563667232,81.04002380371094,26.16,18.85,0.5653663277626038,BEATS
fusion,agentic_best_tta,bmc,transductive,True,0.2,ce,0.5,mlp,10,Moldova,3,589,17.421398162841797,,,20.23432498162388,0.7942528707623658,18.83804218595724,21.745725678633047,0.8947368421052632,83.8527042388916,26.16,18.85,0.5528581738471985,BEATS
fusion,agentic_best_tta,bmc,transductive,True,0.3,ce,0.5,mlp,10,Moldova,4,589,16.988941192626953,,,19.746331256051214,0.8152215402302274,18.29321854427381,21.295324219258813,0.8573853989813243,80.05815734863282,26.16,18.85,0.58884596824646,BEATS
fusion,stacked_legacy,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,0,589,22.439348220825195,,,23.65770319124244,0.8154082180989126,21.88086887359107,25.40290036065964,0.8030560271646859,85.23889389038087,26.16,18.85,0.5669577717781067,BEATS
fusion,stacked_legacy,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,1,589,20.49435043334961,,,21.75740039547959,0.7973145256335887,20.139209997935286,23.447851997124623,0.8285229202037352,82.75251159667968,26.16,18.85,0.545996904373169,BEATS
fusion,stacked_legacy,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,2,589,21.615081787109375,,,22.0397614098592,0.7841681521217819,20.53923688525615,23.490921573349556,0.8573853989813243,84.49335021972658,26.16,18.85,0.5653663277626038,BEATS
fusion,stacked_legacy,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,3,589,20.830108642578125,,,21.570606215422142,0.7943229105449663,19.97314660101117,23.188281848830613,0.8471986417657046,85.37991142272949,26.16,18.85,0.5528581738471985,BEATS
fusion,stacked_legacy,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,4,589,20.442319869995117,,,22.694219933677914,0.8109102752058912,20.971498855817842,24.34390951482051,0.8081494057724957,80.52386474609375,26.16,18.85,0.58884596824646,BEATS
