mode,rung,held_out,band,n,mae
a1,rung1_mse,Romania,"mild [0,30)",240,22.87091165781021
a1,rung1_mse,Romania,"mod [30,60)",315,22.5138015035599
a1,rung1_mse,Romania,"sev [60,100)",395,15.790169479273542
a1,rung1_mse,Romania,"v.sev [100,140]",150,21.871962038675942
a1,rung1_mse,Moldova,"mild [0,30)",1135,8.582053546128295
a1,rung1_mse,Moldova,"mod [30,60)",545,22.70936347672699
a1,rung1_mse,Moldova,"sev [60,100)",615,25.89277368095832
a1,rung1_mse,Moldova,"v.sev [100,140]",650,42.78141534291781
a1,rung1_mse,Kazakhstan,"mild [0,30)",1065,16.7745008215658
a1,rung1_mse,Kazakhstan,"mod [30,60)",335,22.021889612567957
a1,rung1_mse,Kazakhstan,"sev [60,100)",455,20.76268604718722
a1,rung1_mse,Kazakhstan,"v.sev [100,140]",140,26.146485219682965
a1,agentic_best_spatcav,Romania,"mild [0,30)",240,17.591142825285594
a1,agentic_best_spatcav,Romania,"mod [30,60)",315,25.465710061693947
a1,agentic_best_spatcav,Romania,"sev [60,100)",395,16.23012128419514
a1,agentic_best_spatcav,Romania,"v.sev [100,140]",150,19.73984624226888
a1,agentic_best_spatcav,Moldova,"mild [0,30)",1135,10.870594304353656
a1,agentic_best_spatcav,Moldova,"mod [30,60)",545,21.952293462272085
a1,agentic_best_spatcav,Moldova,"sev [60,100)",615,20.539667721104816
a1,agentic_best_spatcav,Moldova,"v.sev [100,140]",650,38.5626080263578
a1,agentic_best_spatcav,Kazakhstan,"mild [0,30)",1065,13.716381806610896
a1,agentic_best_spatcav,Kazakhstan,"mod [30,60)",335,23.757209033396705
a1,agentic_best_spatcav,Kazakhstan,"sev [60,100)",455,21.136849969297973
a1,agentic_best_spatcav,Kazakhstan,"v.sev [100,140]",140,25.045522894178117
a2,rung1_mse,Romania,"mild [0,30)",240,28.961473867297173
a2,rung1_mse,Romania,"mod [30,60)",315,25.694267170012942
a2,rung1_mse,Romania,"sev [60,100)",395,15.29124928486498
a2,rung1_mse,Romania,"v.sev [100,140]",150,12.650464591979981
a2,rung1_mse,Moldova,"mild [0,30)",1135,14.236877798220135
a2,rung1_mse,Moldova,"mod [30,60)",545,21.134450010312808
a2,rung1_mse,Moldova,"sev [60,100)",615,20.800723855185314
a2,rung1_mse,Moldova,"v.sev [100,140]",650,38.70426377333128
a2,rung1_mse,Kazakhstan,"mild [0,30)",1065,14.179324673710854
a2,rung1_mse,Kazakhstan,"mod [30,60)",335,23.36393260813471
a2,rung1_mse,Kazakhstan,"sev [60,100)",455,22.2234807066865
a2,rung1_mse,Kazakhstan,"v.sev [100,140]",140,21.474696731567384
a2,agentic_best_spatcav,Romania,"mild [0,30)",240,20.731989989678066
a2,agentic_best_spatcav,Romania,"mod [30,60)",315,25.93827419129629
a2,agentic_best_spatcav,Romania,"sev [60,100)",395,16.10949895834621
a2,agentic_best_spatcav,Romania,"v.sev [100,140]",150,13.793384348551433
