mode,rung,country,n,delta,ci_lo,ci_hi,sig
a1,rung1_bmc,Romania,220,0.05782102898440655,-0.5022194797897882,0.6106065802379373,
a1,rung1_bmc,Moldova,589,0.44679444764625487,0.1756846992636037,0.7007170766162423,*
a1,rung1_bmc,Kazakhstan,399,-0.33102493251027454,-0.7006990396664635,0.05976810593298625,
a1,rung3_retrieval,Romania,220,0.16032665556127768,-0.21840577405691777,0.5454104832356614,
a1,rung3_retrieval,Moldova,589,0.4373804352684232,0.27525346709734516,0.5912063606212433,*
a1,rung3_retrieval,Kazakhstan,399,-0.0896413576632824,-0.3465879187144708,0.17226316903169694,
a1,rung4b_spatial_cavity,Romania,220,-0.27835355423390595,-1.8140413005231766,1.227955781905486,
a1,rung4b_spatial_cavity,Moldova,589,-0.8672456473017256,-1.6547953166327707,-0.07560224255150319,*
a1,rung4b_spatial_cavity,Kazakhstan,399,-1.662749817803089,-2.723039983150577,-0.5501060962747936,*
a1,rung6_conformal,Romania,220,-0.0004182724519203873,-0.5282921608239427,0.5080801659456742,
a1,rung6_conformal,Moldova,589,0.03647417597384006,-0.25705909965664187,0.3199136306258163,
a1,rung6_conformal,Kazakhstan,399,-0.29975887583312044,-0.6825952382081331,0.08592442231481472,
a1,agentic_best,Romania,220,-0.6683909195119675,-1.4876229601664928,0.13840543156319735,
a1,agentic_best,Moldova,589,-1.014030074223193,-1.4317762819150084,-0.6045431379419853,*
a1,agentic_best,Kazakhstan,399,-1.024763800207534,-1.635159554060238,-0.41155641812728455,*
a1,agentic_best_spatcav,Romania,220,-0.37974078221754226,-1.7047846617481968,0.9953202533342621,
a1,agentic_best_spatcav,Moldova,589,-0.9639184156378988,-1.766313011566326,-0.15042537791619628,*
a1,agentic_best_spatcav,Kazakhstan,399,-1.514145718959341,-2.5618226313411756,-0.47270939837422354,*
a2,rung1_bmc,Romania,220,0.25313651475039123,-0.07610671148787693,0.5724120369472289,
a2,rung1_bmc,Moldova,589,0.07128888833951663,-0.20921154878858772,0.37546834851867855,
a2,rung1_bmc,Kazakhstan,399,-0.4711098162602063,-0.890179049392844,-0.03957132255187066,*
a2,rung2_tta,Romania,220,-0.08752530049236995,-1.1180738191206707,0.9862285768768153,
a2,rung2_tta,Moldova,589,-0.710260777863958,-1.3314210888416145,-0.07813251312539951,*
a2,rung2_tta,Kazakhstan,399,1.2772664199064394,0.433284296778468,2.1244876281600376,*
a2,rung3_retrieval,Romania,220,0.05899038228120901,-0.2834741442853785,0.41974928785453874,
a2,rung3_retrieval,Moldova,589,-0.25259366197375854,-0.47664707136996676,-0.014878562755242894,*
a2,rung3_retrieval,Kazakhstan,399,-0.5000224727735834,-0.7822873111252167,-0.21619234341278337,*
a2,rung4b_spatial_cavity,Romania,220,-0.9310873798890533,-2.2912480463493914,0.46100349814783287,
a2,rung4b_spatial_cavity,Moldova,589,-0.12856684506084548,-0.8704257888073311,0.6336305747356101,
a2,rung4b_spatial_cavity,Kazakhstan,399,-1.3163245513773827,-2.304969101780118,-0.3500163390795515,*
a2,rung6_conformal,Romania,220,0.3867045178196662,0.08508484076098614,0.6744745772535093,*
a2,rung6_conformal,Moldova,589,0.03482473457456692,-0.23294379341278032,0.29464003358409135,
a2,rung6_conformal,Kazakhstan,399,-0.6924277583459286,-1.0596643224261424,-0.34480660460945683,*
a2,agentic_best,Romania,220,-1.1054787867719469,-1.7659674674994996,-0.45775160296035594,*
a2,agentic_best,Moldova,589,-1.2896487397970802,-1.6718013661586277,-0.9362235846431572,*
a2,agentic_best,Kazakhstan,399,-0.9269450171350364,-1.4258379346660137,-0.44747495558676437,*
a2,agentic_best_spatcav,Romania,220,-1.0445767903327905,-2.404200316136533,0.2906701150590719,
a2,agentic_best_spatcav,Moldova,589,-0.6273726507743049,-1.3876806819810874,0.14220679391725682,
a2,agentic_best_spatcav,Kazakhstan,399,-1.5852332056016873,-2.5245197619546302,-0.6617722258830773,*
a2,agentic_best_tta,Romania,220,-0.6254416168819787,-1.3595169149691446,0.13751167794248878,
a2,agentic_best_tta,Moldova,589,-1.1700044981996136,-1.6889750484479573,-0.593943913687523,*
a2,agentic_best_tta,Kazakhstan,399,0.8442581774298112,0.1534368336335141,1.5713418411028368,*
a3,rung1_bmc,Romania,220,0.7687429616754606,-0.05321533583636046,1.5387249718746767,
a3,rung1_bmc,Moldova,589,-0.4034816005422712,-0.9432846245305546,0.14695660508361932,
a3,rung1_bmc,Kazakhstan,399,-2.6982925590676743,-3.5047232964626547,-1.8995726734711766,*
a3,rung2_tta,Romania,220,3.03145472327094,1.0134143613085889,5.0968558868299505,*
a3,rung2_tta,Moldova,589,-2.921102004203057,-3.739164864961258,-2.0337381270876063,*
a3,rung2_tta,Kazakhstan,399,-0.6180282840732829,-1.8199432828622046,0.5720244583744603,
a3,rung3_retrieval,Romania,220,0.5220496204545455,-0.3005089322272698,1.273747220684092,
a3,rung3_retrieval,Moldova,589,-1.4818685923996604,-1.8559617046931514,-1.1065054112158745,*
a3,rung3_retrieval,Kazakhstan,399,-2.1603732613533886,-2.7908941293233056,-1.4941892993020036,*
a3,rung6_conformal,Romania,220,1.0210974577272758,0.19017899431363325,1.8483403375659078,*
a3,rung6_conformal,Moldova,589,0.3842724719993207,-0.13569152640598353,0.8908316910523318,
a3,rung6_conformal,Kazakhstan,399,-2.6188194218546386,-3.3999736485400978,-1.8939209547944904,*
a3,agentic_best,Romania,220,1.2241299607727285,0.14041258472386736,2.3623306456102267,*
a3,agentic_best,Moldova,589,-2.3103247025558566,-2.776126704347055,-1.8480539798411442,*
a3,agentic_best,Kazakhstan,399,-1.834432274837095,-2.6344163132756875,-1.0802426332431079,*
a3,agentic_best_tta,Romania,220,2.335177376636363,0.7448575360795464,4.000749418286365,*
a3,agentic_best_tta,Moldova,589,-3.2719401209904895,-3.9617435500329194,-2.5487154955769276,*
a3,agentic_best_tta,Kazakhstan,399,-1.0854254908270704,-2.1794752525563914,-0.020216635848372244,*
